"","ds","y","yhat","yhat_lower","yhat_upper","cutoff"
"166",2017-09-11,13.5,13.2233113626854,12.2851012223439,14.1170756394367,2017-08-14 00:00:00
"167",2017-09-12,13.5,13.2121570303999,12.3226420250061,14.1307963440595,2017-08-14 00:00:00
"168",2017-09-13,13.49,13.0773731089935,12.1815653845989,14.0048018477505,2017-08-14 00:00:00
"169",2017-09-14,13.57,12.9915871257186,12.0880092487713,13.9397461941635,2017-08-14 00:00:00
"170",2017-09-15,13.65,12.9481342086504,11.9948549201567,13.8238468480317,2017-08-14 00:00:00
"171",2017-09-18,13.7,12.8587465982973,11.9553378081948,13.6871448523811,2017-08-14 00:00:00
"172",2017-09-01,12.8,13.0374281821664,12.1856615818117,13.8653809400797,2017-08-31 12:00:00
"173",2017-09-04,12.7,13.0088883420782,12.1792328785163,13.9419743755151,2017-08-31 12:00:00
"174",2017-09-05,13,12.9015639718412,12.0535145528077,13.7620145346556,2017-08-31 12:00:00
"175",2017-09-06,12.89,12.6504021360186,11.7512441134965,13.5696079398679,2017-08-31 12:00:00
"176",2017-09-07,13.5,12.4259733763759,11.5542978347504,13.3079552846245,2017-08-31 12:00:00
"177",2017-09-08,12.86,12.2458842811332,11.4010401339393,13.1024186659249,2017-08-31 12:00:00
"178",2017-09-11,13.5,11.7271906166905,10.8661210271745,12.6033512991723,2017-08-31 12:00:00
"179",2017-09-12,13.5,11.4828625595712,10.6909445531861,12.3669522089703,2017-08-31 12:00:00
"180",2017-09-13,13.49,11.115286326813,10.2167141116904,11.9725976986833,2017-08-31 12:00:00
"181",2017-09-14,13.57,10.7990737110875,9.90097487789865,11.6555341437337,2017-08-31 12:00:00
"182",2017-09-15,13.65,10.5554370237695,9.7096976484169,11.4097652611402,2017-08-31 12:00:00
"183",2017-09-18,13.7,10.0427707673505,9.17429575030785,10.8210762391977,2017-08-31 12:00:00
"184",2017-09-19,13.7,9.87152220142466,9.00834657225167,10.6288600586713,2017-08-31 12:00:00
"185",2017-09-20,13.11,9.61329162620376,8.80307619364157,10.5392864081628,2017-08-31 12:00:00
"186",2017-09-21,14.42,9.44182410716983,8.60633636869207,10.3151290555277,2017-08-31 12:00:00
"187",2017-09-22,15.47,9.37657541262105,8.52734496110299,10.2777785370251,2017-08-31 12:00:00
"188",2017-09-25,13.92,9.57052350965836,8.67762624554388,10.4685527847836,2017-08-31 12:00:00
"189",2017-09-26,13.85,9.67792742125452,8.86820958314633,10.5654779239394,2017-08-31 12:00:00
"190",2017-09-27,13.78,9.71122864914938,8.81944588089875,10.4882580115787,2017-08-31 12:00:00
"191",2017-09-28,13.7,9.83819724107614,8.9509352743521,10.7130180112203,2017-08-31 12:00:00
"192",2017-09-29,13.5,10.0719834710937,9.29752315083507,10.9299264094151,2017-08-31 12:00:00
"193",2017-09-19,13.7,14.1901366054287,13.3331295156161,15.0001782056709,2017-09-18 00:00:00
"194",2017-09-20,13.11,14.2744395276324,13.4943084258828,15.1544816797286,2017-09-18 00:00:00
"195",2017-09-21,14.42,14.4497157386568,13.6912762359079,15.3176167114988,2017-09-18 00:00:00
"196",2017-09-22,15.47,14.6656093091227,13.7811197595335,15.5116326112282,2017-09-18 00:00:00
"197",2017-09-25,13.92,15.6120843637895,14.7185430115755,16.4197933312871,2017-09-18 00:00:00
"198",2017-09-26,13.85,15.9244650136978,15.1140376038018,16.7923982409853,2017-09-18 00:00:00
"199",2017-09-27,13.78,16.1057779544287,15.2816664178643,16.9181002996597,2017-09-18 00:00:00
"200",2017-09-28,13.7,16.3556424745911,15.467064195261,17.3310942835434,2017-09-18 00:00:00
"201",2017-09-29,13.5,16.6198218327168,15.7098620280582,17.4993929541453,2017-09-18 00:00:00
"202",2017-10-09,13.5,18.0608852701352,17.2264324799758,18.9058133715657,2017-09-18 00:00:00
"203",2017-10-10,13.78,17.9655897125482,17.0842231409882,18.8082508579377,2017-09-18 00:00:00
"204",2017-10-11,13.89,17.6815142539196,16.8285587930092,18.5343537408035,2017-09-18 00:00:00
"205",2017-10-12,13.9,17.4139173186587,16.5991910570707,18.3468789518289,2017-09-18 00:00:00
"206",2017-10-13,14.1,17.115635769462,16.2577408268317,17.9427926004372,2017-09-18 00:00:00
"207",2017-10-16,14,16.1492490946414,15.3013542904333,17.0279386085852,2017-09-18 00:00:00
"208",2017-10-17,14.92,15.7278329386905,14.828503121533,16.5829407024688,2017-09-18 00:00:00
"209",2017-10-18,15.04,15.1445536112041,14.3144723818563,16.019202683592,2017-09-18 00:00:00
"210",2017-10-19,14.92,14.6112508623904,13.7646320550598,15.4886721570849,2017-09-18 00:00:00
"211",2017-10-20,13.7,14.0868373870358,13.1794667642176,14.9825323347914,2017-09-18 00:00:00
"212",2017-10-23,13.5,12.7295992724093,11.830754520486,13.605151888174,2017-09-18 00:00:00
"213",2017-10-09,13.5,10.1023818103714,9.23508425088891,10.9335473288555,2017-10-05 12:00:00
"214",2017-10-10,13.78,9.57926131293637,8.74917206662733,10.4327614425222,2017-10-05 12:00:00
"215",2017-10-11,13.89,8.90566876686404,8.09917036270836,9.79549383530918,2017-10-05 12:00:00
"216",2017-10-12,13.9,8.34288147977596,7.51003502016923,9.19277689546187,2017-10-05 12:00:00
"217",2017-10-13,14.1,7.79222002870139,6.96225815689969,8.60932132012503,2017-10-05 12:00:00
"218",2017-10-16,14,6.32585282541683,5.45799520494002,7.11638545991831,2017-10-05 12:00:00
"219",2017-10-17,14.92,5.87847682418502,5.03291890881266,6.72285370606719,2017-10-05 12:00:00
"220",2017-10-18,15.04,5.34005240883253,4.50676240577912,6.18194354157203,2017-10-05 12:00:00
"221",2017-10-19,14.92,4.97307201231078,4.1544392669465,5.837922905486,2017-10-05 12:00:00
"222",2017-10-20,13.7,4.6789225104419,3.79436186605302,5.517607659286,2017-10-05 12:00:00
"223",2017-10-23,13.5,4.32875994009722,3.52792497826371,5.19624011750101,2017-10-05 12:00:00
"224",2017-10-24,14.3,4.35699401453473,3.50059381322143,5.22348198304019,2017-10-05 12:00:00
"225",2017-10-25,13.1,4.33694942508829,3.49595833960773,5.15165301509821,2017-10-05 12:00:00
"226",2017-10-26,14.4,4.52405177133525,3.69458368628669,5.38335370107757,2017-10-05 12:00:00
"227",2017-10-27,13.48,4.81164814474148,3.94823607791764,5.71311661192898,2017-10-05 12:00:00
"228",2017-10-30,13.33,6.28064466216639,5.38066168870181,7.1625953323995,2017-10-05 12:00:00
"229",2017-10-31,13.44,6.90650553510928,6.02099314611352,7.67483139917814,2017-10-05 12:00:00
"230",2017-11-01,13.4,7.46231347332032,6.57451278414075,8.35649364652166,2017-10-05 12:00:00
"231",2017-11-02,13.6,8.19306991791469,7.33732924215891,9.07169419225426,2017-10-05 12:00:00
"232",2017-11-03,13.6,8.98200276965127,8.08624395956214,9.80249467285867,2017-10-05 12:00:00
"233",2017-11-06,13.55,11.6088717156781,10.859078344657,12.4475915820435,2017-10-05 12:00:00
"234",2017-11-07,13.55,12.4789294651231,11.6658491161019,13.3203024169099,2017-10-05 12:00:00
"235",2017-11-08,13.55,13.1976611338428,12.3726252597114,14.0507188290955,2017-10-05 12:00:00
"236",2017-11-09,13.49,14.0058237840963,13.1478747954302,14.8720491982648,2017-10-05 12:00:00
"237",2017-10-24,14.3,14.0956363491785,13.3505889937531,14.9102790148332,2017-10-23 00:00:00
"238",2017-10-25,13.1,13.9258718966857,13.0725001742014,14.8234799060189,2017-10-23 00:00:00
"239",2017-10-26,14.4,13.8544354461035,12.9645055071093,14.7232527913316,2017-10-23 00:00:00
"240",2017-10-27,13.48,13.7692480575341,12.903098658861,14.6528561283568,2017-10-23 00:00:00
"241",2017-10-30,13.33,13.6317025456274,12.7451549967099,14.4491284876296,2017-10-23 00:00:00
"242",2017-10-31,13.44,13.6009594422027,12.7283215138182,14.4494313269076,2017-10-23 00:00:00
"243",2017-11-01,13.4,13.4133213580511,12.5128521190936,14.200776695337,2017-10-23 00:00:00
"244",2017-11-02,13.6,13.331947101124,12.3810872988717,14.1940917679163,2017-10-23 00:00:00
"245",2017-11-03,13.6,13.2450374139364,12.3747020673548,14.0810277941817,2017-10-23 00:00:00
"246",2017-11-06,13.55,13.1516757244164,12.2937849915099,14.0021235739373,2017-10-23 00:00:00
"247",2017-11-07,13.55,13.1512103055236,12.2423886232886,14.0502234663044,2017-10-23 00:00:00
"248",2017-11-08,13.55,13.0007310742025,12.0723452938984,13.8188695863331,2017-10-23 00:00:00
"249",2017-11-09,13.49,12.9626157958901,12.0688590023083,13.7503983670181,2017-10-23 00:00:00
"250",2017-11-10,13.43,12.9241421702484,12.0583793605895,13.7486635431263,2017-10-23 00:00:00
"251",2017-11-13,13.45,12.9962214274303,12.1014321163561,13.814428820864,2017-10-23 00:00:00
"252",2017-11-14,14,13.0535710881256,12.2308923675135,13.9237579101322,2017-10-23 00:00:00
"253",2017-11-15,14.03,12.9601116527634,12.0645809259189,13.838823586223,2017-10-23 00:00:00
"254",2017-11-16,13.56,12.9769366463698,12.1460007964728,13.8746688442495,2017-10-23 00:00:00
"255",2017-11-17,13.5,12.9900744010168,12.1671014694293,13.7974920681655,2017-10-23 00:00:00
"256",2017-11-20,13.5,13.1856111140107,12.2896166990791,13.9989528182099,2017-10-23 00:00:00
"257",2017-11-21,13.5,13.2703915479162,12.4378178345451,14.0845331496447,2017-10-23 00:00:00
"258",2017-11-22,13.25,13.1962170034844,12.3384010581104,14.0995011628732,2017-10-23 00:00:00
"259",2017-11-23,13.6,13.2236564303527,12.39168489204,14.1167591017324,2017-10-23 00:00:00
"260",2017-11-24,14.49,13.2383975689784,12.4063534286726,14.1369432002033,2017-10-23 00:00:00
"261",2017-11-27,13.32,13.3841990062147,12.5179238368733,14.2434638314121,2017-10-23 00:00:00
"262",2017-11-10,13.43,13.5162757598228,12.7554332048728,14.415412623773,2017-11-09 12:00:00
"263",2017-11-13,13.45,13.7454571893104,12.9755749138318,14.5467913512136,2017-11-09 12:00:00
"264",2017-11-14,14,13.8565541712476,13.0534635991319,14.6104012009462,2017-11-09 12:00:00
"265",2017-11-15,14.03,13.7839255093886,13.0282168615508,14.580717787677,2017-11-09 12:00:00
"266",2017-11-16,13.56,13.8699214081533,13.0457875284896,14.6695608615419,2017-11-09 12:00:00
"267",2017-11-17,13.5,13.8906857342401,13.0410188669603,14.6612403722065,2017-11-09 12:00:00
"268",2017-11-20,13.5,14.1150320065491,13.3086371506751,14.9148511988357,2017-11-09 12:00:00
"269",2017-11-21,13.5,14.2028079455836,13.3962597776809,14.9681978794234,2017-11-09 12:00:00
"270",2017-11-22,13.25,14.095960858929,13.3046922503982,14.9132532856565,2017-11-09 12:00:00
"271",2017-11-23,13.6,14.1371629446987,13.3215137089958,14.9892247623864,2017-11-09 12:00:00
"272",2017-11-24,14.49,14.1031089253313,13.318288258757,14.922844642852,2017-11-09 12:00:00
"273",2017-11-27,13.32,14.1115851115201,13.3368788438704,14.9359627516224,2017-11-09 12:00:00
"274",2017-11-28,14.23,14.1141407096464,13.2748506242321,14.9513264499629,2017-11-09 12:00:00
"275",2017-11-29,14.23,13.9177874033258,13.1476471313355,14.6817189132183,2017-11-09 12:00:00
"276",2017-11-30,14.23,13.8667968747256,13.0621115925691,14.6699870141654,2017-11-09 12:00:00
"277",2017-12-01,14.23,13.7395509542437,12.947742121204,14.4929051720338,2017-11-09 12:00:00
"278",2017-12-04,13.5,13.4799788604029,12.6932801931073,14.269679294776,2017-11-09 12:00:00
"279",2017-12-05,14.2,13.4028590578519,12.586408651541,14.2156659144804,2017-11-09 12:00:00
"280",2017-12-06,13.1,13.1344656935866,12.3370798331482,13.967591681343,2017-11-09 12:00:00
"281",2017-12-07,13.15,13.0206139707333,12.2233169757858,13.8517324481349,2017-11-09 12:00:00
"282",2017-12-08,13.73,12.8410986690632,12.0535729580026,13.6115208505555,2017-11-09 12:00:00
"283",2017-12-11,13.35,12.499921165345,11.6309007472827,13.3108158516662,2017-11-09 12:00:00
"284",2017-12-12,14.69,12.4235806579348,11.6179294948413,13.2403886568509,2017-11-09 12:00:00
"285",2017-12-13,13.33,12.1708724478074,11.4152618638758,12.9499525989416,2017-11-09 12:00:00
"286",2017-12-14,13.96,12.0878127053468,11.2866931400251,12.8954325735041,2017-11-09 12:00:00
"287",2017-11-28,14.23,13.4876274310274,12.6131391534712,14.2780588876098,2017-11-27 00:00:00
"288",2017-11-29,14.23,13.2698415854582,12.4939405692501,14.1345952124965,2017-11-27 00:00:00
"289",2017-11-30,14.23,13.1961933761299,12.3376592706723,13.9702010885879,2017-11-27 00:00:00
"290",2017-12-01,14.23,13.0722549595157,12.3036987249315,13.8529522401442,2017-11-27 00:00:00
"291",2017-12-04,13.5,12.759272367559,11.9615508971358,13.6123630020253,2017-11-27 00:00:00
"292",2017-12-05,14.2,12.6973586505802,11.9121077551304,13.4650917932535,2017-11-27 00:00:00
