date,dealprice
2019/2/14,14
2019/2/15,14
2019/2/18,14
2019/2/19,14
2019/2/20,15.4
2019/2/21,13.86
2019/2/22,15.25
2019/2/25,13.73
2019/2/27,15.1
2019/2/28,13.59
2019/3/1,13.59
2019/3/4,12.23
2019/3/5,11.01
2019/3/6,9.91
2019/3/7,10.9
2019/3/8,9.81
2019/3/11,8.83
2019/3/12,7.95
2019/3/13,8.75
2019/3/14,7.88
2019/3/15,7.09
2019/3/18,6.38
2019/3/19,5.75
2019/3/20,5.19
2019/3/21,4.67
2019/3/22,4.2
2019/3/25,3.78
2019/3/26,3.4
2019/3/27,3.74
2019/3/28,3.37
2019/3/29,3.71
2019/4/1,3.71
