Deal,AQIIndex,ClosePrice,Europe_change,Global_GasPrice,Eco_rmb,JDWeather,cer_rmb_diff,TAN180_Change
12.24,45,1875,-0.03,3900,11.9,1,0,5.4948
12.04,68,1851.5,0.5,3900,11.8146,1,0.516129032,-6.0766
11.66,87,1870.5,-0.52,3900,11.6616,1,-0.513478819,26.3833
11.66,65,1840,-0.24,3900,11.7972,1,-0.258064516,4.0218
12.04,37,1906,0.31,3900,12.2356,1,0.258732212,-17.3003
12.04,45,1902.5,0.11,3900,12.5736,1,0.129032258,4.7997
12.59,52,1945.5,0.4,3900,12.6225,1,0.386597938,32.1856
12.13,62,1917.5,-0.17,3900,12.7575,1,-0.128369705,2.2995
11.08,72,1946,0.81,3900,12.2668,1,0.771208226,-10.8566
11.06,50,1898,0.39,3900,12.0646,1,0.382653061,8.262
12.1,103,1932,-0.23,3900,12.2175,1,-0.254129606,-6.0734
12.72,142,1937.5,0.11,3900,13.77,1,0.127388535,1.3689
12.51,58,1951.5,0.48,3900,9.9604,1,0.508905852,3.2415
11.64,117,1958,-0.33,3900,7.6162,1,-0.379746835,-0.9063
11.64,103,2064,0.41,3900,12.8543,0,0.508259212,10.1642
12.98,133,2053,0.44,3900,13.6884,1,0.379266751,16.7329
12.24,70,2045,-0.07,3900,13.9776,1,0,0.7916
11.05,68,2023.5,0.34,3900,14.0448,1,0.251889169,-13.5433
12.16,65,2012.5,0.19,3900,13.42,1,0.251256281,-9.3238
12.51,93,2047.5,-0.68,3900,6.5184,1,-0.751879699,6.3768
11.99,56,2081,0.06,3900,6.4512,1,0.126262626,2.5204
12.09,59,2145.5,-0.53,3950,6.2403,0,-0.504413619,-10.8147
12.6,47,2161,-0.43,3950,16.7668,0,-0.506970849,-8.9192
12.12,50,2166.5,-0.24,3950,17.316,1,-0.25477707,-28.7804
12.12,65,2107.5,0.44,3950,18.315,0,0.510855683,18.6273
12.36,49,2120.5,-0.17,3950,18.8761,0,-0.254129606,8.9585
12.28,61,2119,-0.19,3950,17.7688,0,-0.127388535,-12.148
12.28,85,2253.5,0.17,3950,16.008,0,0.12755102,14.1679
12.28,127,2268.5,-0.37,3950,12.1394,0,-0.382165605,1.3477
12.28,86,2314,0.22,3950,14.007,0,0.255754476,7.9882
12.5,70,2357.5,0.35,2980,15.8508,0,0.382653061,3.3341
12.98,35,2351.5,-0.42,2980,16.3836,1,-0.381194409,1.6848
13,37,2398,0.31,2980,23.0755,1,0.255102041,-15.6233
13,59,2474.5,-0.08,2980,20.313,1,-4.883072822,39.335
13.18,43,2476,0.97,2980,22.8416,1,1.01910828,30.1615
13.18,84,2387.5,0.04,2980,22.2768,0,0,-3.831
13,99,2386.5,-0.24,2980,21.6808,0,-0.25220681,-6.9659
12.81,65,2345,-0.78,2980,18.084,0,-0.758533502,-3.3105
12.81,73,2341,-0.06,2810,16.9363,0,0,0.6136
12.7,65,2284,-0.58,2780,16.8849,0,-0.636942675,7.51
13,60,2305,-0.53,2780,11.1834,0,-0.512820513,5.1628
12.89,80,2340,0.32,2710,10.8398,0,0.386597938,-3.1818
13.5,80,2375.5,-0.02,2710,10.0562,0,-0.128369705,-11.8143
12.86,68,2402,0,2710,11.6234,0,0,0.4046
13.5,100,2414.5,-0.08,2830,8.97,0,0,-1.7423
13.5,71,2468,0.27,2830,11.2316,0,0.257069409,4.9558
13.49,50,2429,0.29,2830,19.3584,0,0.256410256,-4.7482
13.57,47,2374.5,-0.52,2800,20.174,0,-0.511508951,-8.2178
13.65,95,2279,0.21,2800,17.2656,0,0.257069409,-5.7198
13.7,185,2185.5,0.21,2800,16.9386,0,0.128205128,5.0401
13.7,133,2177,0.34,2800,15.851,0,0.384122919,-3.7872
13.01,160,2197,0.44,2800,12.2202,0,0.382653061,2.8162
14.42,132,2086,-0.71,2800,14.0367,0,-0.635324015,-3.2077
15.47,73,2032,0.59,2800,13.2459,0,0.639386189,-1.3049
13.92,37,2012.5,-0.05,2830,9.0283,0,4.866581957,-5.7357
13.85,115,1995.5,-0.33,2830,7.4032,0,-0.254452926,-0.0075
13.78,201,1984,-0.29,3010,9.8638,0,-0.382653061,-4.2351
13.37,188,1875,-0.24,3010,12.3318,0,-0.256081946,-4.7852
13.5,64,1945,0.38,3380,12.3504,0,-4.395134177,6.4633
13.5,52,1884,-0.18,3630,15.694,0,-5.121483376,14.6825
13.78,53,1805.5,-0.3,3700,14.0556,0,-0.256081946,2.6264
13.9,68,1790.5,-0.07,3700,18.5556,0,-0.128369705,-1.06
13.9,55,1820.5,0.33,3700,20.1348,0,0.385604113,3.8188
14.1,58,1890.5,-0.14,3700,12.9164,0,-0.256081946,3.7857
14,38,1899.5,-0.24,3700,13.0942,0,-0.128369705,1.2986
14.92,42,1819,-0.07,3950,12.6528,0,5.127858206,-4.7498
15.04,38,1775.5,0.03,3950,14.652,0,0,7.2954
14.92,33,1687,0.34,3950,16.6572,0,0.386100386,-8.8639
13.5,108,1688,-0.48,3950,16.3514,0,-5.121794872,-2.4895
14.3,102,1681,-0.06,4300,18.0336,0,0,11.7765
13.1,116,1722,0.16,4300,19.6911,0,-5.14154449,2.911
14.4,104,1731,0.44,4300,21.6138,1,-5.071225071,7.1834
13.48,97,1724.5,-1.28,4300,18.6865,1,4.531812725,2.1031
13.33,91,1683,-0.26,4250,24.8045,0,-0.258397933,-5.2947
13.44,90,1670.5,0.23,4250,27.0248,0,0.129533679,-1.0682
13.4,107,1688.5,-0.11,4250,29.2383,0,0,-3.2183
13.6,110,1746,-0.34,4250,30.7168,0,-11.45608739,-3.9228
13.6,84,1729,0.05,4250,30.406,0,12.5,-2.9405
13.55,74,1790.5,-0.13,4250,30.9816,0,-0.12987013,2.2929
13.55,55,1831,-0.07,4250,31.445,0,0,16.8925
13.55,50,1867.5,0.02,4250,31.3599,0,-5.555555556,-2.0907
13.49,72,1839,-0.01,4250,30.5643,0,0,3.7465
13.43,95,1826.5,0.4,4250,29.6361,0,0.390117035,9.6986
13.45,59,1783.5,0.18,4250,28.7079,0,0.129533679,1.8144
14,53,1842.5,0.15,4250,26.6928,0,0.129366106,-6.6868
14.03,47,1796.5,0.95,3950,27.5808,0,1.033591731,-13.2669
13.56,78,1811.5,-0.14,3950,27.7134,0,-0.127877238,-3.402
13.5,101,1836,-0.06,4550,27.4482,0,-0.128040973,18.2731
13.5,38,1906,-0.27,4800,27.3156,0,-0.256410256,-0.8371
13.5,45,1917.5,0.07,5000,27.4896,0,0.128534704,16.2838
13.25,39,1993.5,-0.05,5350,26.52,0,-0.128369705,9.9935
13.6,55,1969,0.26,5350,26.4,0,0.257069409,-44.1327
14.49,52,2019.5,-0.06,5350,26.32,0,0,3.3075
13.32,67,2006.5,0.7,5350,26.7554,0,0.641025641,-13.2078
14.23,82,2095,-0.07,5350,27.6121,0,0,-2.5508
14.23,83,2079.5,-0.35,5300,27.39,0,-0.382165605,-5.9184
14.23,57,2154,0.05,5350,26.598,0,0.127877238,-12.9869
14.23,43,2194,0.47,5350,26.3078,0,0.383141762,-2.4435
13.5,45,2188.5,-0.2,5350,27.2993,0,-0.127226463,3.8653
14.2,50,2177,0,5350,24.9197,0,0,8.2927
13.1,85,2186,-0.29,5350,25.5532,0,-6.242038217,-12.7482
13.15,101,2008,-0.15,5350,24.7588,0,-0.127877238,-8.9799
13.73,64,2065,-0.23,5350,23.3686,0,-0.256081946,7.0641
13.35,74,2104,-0.09,5350,23.4348,0,6.25,12.857
14.69,93,2111,0.06,5350,25.2222,0,0,-27.0632
14.69,102,2068.5,-0.17,5350,26.0559,0,-0.128369705,6.8176
13.96,79,1998,0.53,5350,27.126,0,0.514138817,-10.963
13.7,53,2056,-0.45,5350,27.2993,0,-0.511508951,-10.3849
13.34,62,2159.5,-0.17,5350,27.804,0,5.746257372,-0.8831
13.31,52,2119,0.22,5350,29.1501,0,0.257400257,17.2966
13.08,67,2080.5,0.44,5350,28.8196,0,-5.191841392,-5.634
13.02,97,2072,-0.1,5350,28.294,0,-0.127877238,0.4018
13.2,116,2118,-0.14,5350,29.939,0,-0.128040973,-7.5655
13.2,93,2008,-0.22,5350,29.8935,0,-0.128205128,-11.0945
14.17,115,2027.5,-0.28,5350,33.2886,0,-0.256739409,15.0979
12.8,112,1970,-0.1,5350,29.9532,0,-0.128700129,-20.88
12.9,120,1981.5,0.33,5350,32.5038,0,0.257731959,11.2753
12.91,102,1979.5,0.24,5350,33.5642,0,0.257069409,2.8115
12.91,124,2014.5,0.22,5350,28.8393,0,0.256410256,22.1035
12.93,130,2015,0.16,5350,27.1931,0,0.127877238,11.3109
12.93,102,2090,-0.29,5350,12.675,0,-0.255427842,6.6849
12.93,69,2061.5,0.34,5350,9.735,0,0.384122919,0.9808
12.93,48,2089.5,-0.39,5350,11.7288,1,-0.382653061,6.2128
12.62,62,2025,0.03,5350,14.1484,1,-0.384122919,0.7551
12.99,63,2029.5,0.14,5350,16.3401,1,0.128534704,3.2905
13.9,69,2011,0.45,5350,12.0065,1,0.385109114,0.0734
13.9,113,1984,0.62,5350,11.951,0,0.639386189,-6.986
13.9,129,1959.5,0.3,5350,11.3344,0,0.381194409,14.8481
12.8,152,1959,-0.03,5350,12.0884,0,-0.126582278,15.6691
12.8,196,1966.5,-0.57,5350,11.3988,0,-0.506970849,11.388
12.8,160,1987,0.12,5350,11.4276,0,0.127388535,15.045
12.8,155,1996.5,-0.06,5350,13.1405,0,-0.127226463,5.0229
12.8,104,1993,-0.07,5350,12.928,0,5.882352941,25.7952
12.8,104,2000.5,0.2,5350,13.8024,1,0.127388535,11.671
12.7,87,2063.5,0.47,5350,13.7592,1,0.508905852,-11.1099
12.9,65,2041,-0.47,5350,14.3284,1,-0.506329114,6.8101
13,38,2032.5,-0.02,5350,13.9893,1,0,-24.1021
12.7,48,2012.5,-0.31,5350,13.8627,1,-0.254452926,-15.9036
12.7,43,2007,0.24,5350,13.7361,1,0.255102041,-3.4926
12.7,72,1999.5,-0.43,5350,13.797,1,-0.508905852,-20.6841
12.95,63,2045,0.54,5350,12.6429,1,0.511508951,5.8085
13.67,46,2123.5,-0.37,5350,11.529,1,-0.254452926,22.7321
14.29,69,2119.5,-0.41,5350,11.4211,1,-0.510204082,-64.5347
12.87,85,2155.5,-0.32,5350,11.6365,1,-0.256410256,-29.0213
13.2,78,2147,-1,5350,12.874,0,-1.028277635,-30.7258
12.81,104,2105.5,0.57,5350,13.2088,0,0.519480519,-86.939
12.81,62,2110.5,-0.34,5350,11.592,1,-0.258397933,5.7183
12.81,76,2111.5,0.72,5350,12.2608,0,0.647668394,16.5184
12.81,73,2141.5,0.78,5350,12.2996,0,0.772200772,8.5525
12.81,27,2176,-0.48,5350,13.0175,0,-0.383141762,36.1417
12.81,38,2221,0.4,5350,12.5095,0,0.384615385,9.9746
13,48,2279,-0.49,5350,12.1728,0,-0.510855683,22.5493
12.85,67,2273.5,-0.17,5350,12.62,0,-0.128369705,-20.1595
13.39,95,2239.5,-0.52,5350,11.4573,0,-0.514138817,-16.2621
12.52,90,2258.5,-0.16,5350,12.2362,0,-0.258397933,8.9213
13.03,67,2242,0.61,5350,12.4701,0,0.647668394,-10.1935
13.12,57,2177,0.52,5350,12.2996,0,0.514800515,0.4033
13.03,64,2194,0.14,5350,12.363,0,0.128040973,20.1597
13.03,59,2151,0.49,5350,12.4701,0,0.511508951,-10.8689
13.03,38,2112,-0.13,5350,12.5136,0,-0.127226463,8.5801
13.1,60,2035,-0.51,2350,12.319,0,-0.50955414,12.0287
14.41,99,2002,-0.17,2650,12.5334,0,-0.128040973,9.9973
13.11,85,1988,0.06,2650,12.1976,0,0,-15.9981
13.44,83,2021,0.41,2650,12.64,0,0.384615385,-8.647
13.4,100,1999,-0.25,2600,12.8093,0,-0.255427842,1.8965
13.99,112,1996,-0.26,2400,12.66,0,5.285246835,-9.3916
13.99,79,1945,-0.21,2450,12.4068,0,-0.128369705,6.1032
13.99,44,1940,0.35,2450,12.008,0,0.257069409,3.0308
13.3,58,1957,-0.49,2450,11.729,0,4.858299595,-5.1392
13.21,85,1964.5,0.47,2480,12.3872,0,0.386100386,-9.2954
12.86,149,1852,-0.06,2480,12.0903,0,-5,-58.9628
13.28,95,1833.5,0.21,3250,11.7552,0,0.128205128,-10.7632
14.6,100,1841,0.1,3250,12.8112,0,0.128040973,16.4887
14.6,148,1776.5,-0.39,3250,13.2508,0,-0.383631714,-18.5075
16.1,116,1778.5,-0.4,3250,12.852,0,-0.385109114,21.5669
13.2,134,1848,-0.1,3250,12.56,0,-0.386597938,0.1116
13.53,100,1872.5,-0.03,3250,11.4924,0,0,-13.9522
13.53,86,1889,-0.09,3250,10.3785,0,-0.129366106,-3.6423
